category,city_name,state_name
East,Angul,ODISHA
East,Araria,BIHAR
East,Arwal,BIHAR
East,Aurangabad(BH),BIHAR
East,Balangir,ODISHA
East,Baleswar,ODISHA
East,Banka,BIHAR
East,Bankura,"WEST BENGAL"
East,Bardhaman,"WEST BENGAL"
East,Bargarh,ODISHA
East,Bastar,CHATTISGARH
East,Begusarai,BIHAR
East,Bhadrak,ODISHA
East,Bhagalpur,BIHAR
East,Bhojpur,BIHAR
East,Bijapur(CGH),CHATTISGARH
East,Bilaspur(CGH),CHATTISGARH
East,Birbhum,"WEST BENGAL"
East,Bokaro,JHARKHAND
East,Boudh,ODISHA
East,Buxar,BIHAR
East,Chatra,JHARKHAND
East,"Cooch Behar","WEST BENGAL"
East,Cuttack,ODISHA
East,Dantewada,CHATTISGARH
East,Darbhanga,BIHAR
East,Darjiling,"WEST BENGAL"
East,Debagarh,ODISHA
East,Deoghar,JHARKHAND
East,Dhamtari,CHATTISGARH
East,Dhanbad,JHARKHAND
East,Dhenkanal,ODISHA
East,Dumka,JHARKHAND
East,Durg,CHATTISGARH
East,"East Champaran",BIHAR
East,"East Midnapore","WEST BENGAL"
East,"East Singhbhum",JHARKHAND
East,Gajapati,ODISHA
East,Ganjam,ODISHA
East,Garhwa,JHARKHAND
East,Gariaband,CHATTISGARH
East,Gaya,BIHAR
East,Giridh,JHARKHAND
East,Godda,JHARKHAND
East,Gopalganj,BIHAR
East,Gumla,JHARKHAND
East,Hazaribag,JHARKHAND
East,Hooghly,"WEST BENGAL"
East,Howrah,"WEST BENGAL"
East,Jagatsinghapur,ODISHA
East,Jajapur,ODISHA
East,Jalpaiguri,"WEST BENGAL"
East,Jamtara,JHARKHAND
East,Jamui,BIHAR
East,Janjgir-champa,CHATTISGARH
East,Jashpur,CHATTISGARH
East,Jehanabad,BIHAR
East,Jharsuguda,ODISHA
East,"Kaimur (Bhabua)",BIHAR
East,Kalahandi,ODISHA
East,Kandhamal,ODISHA
East,Kanker,CHATTISGARH
East,Katihar,BIHAR
East,Kawardha,CHATTISGARH
East,Kendrapara,ODISHA
East,Kendujhar,ODISHA
East,Khagaria,BIHAR
East,Khorda,ODISHA
East,Khunti,JHARKHAND
East,Kishanganj,BIHAR
East,Koderma,JHARKHAND
East,Kolkata,"WEST BENGAL"
East,Koraput,ODISHA
East,Korba,CHATTISGARH
East,Koriya,CHATTISGARH
East,Lakhisarai,BIHAR
East,Latehar,JHARKHAND
East,Lohardaga,JHARKHAND
East,Madhepura,BIHAR
East,Madhubani,BIHAR
East,Mahasamund,CHATTISGARH
East,Malda,"WEST BENGAL"
East,Malkangiri,ODISHA
East,Mayurbhanj,ODISHA
East,Medinipur,"WEST BENGAL"
East,Munger,BIHAR
East,Murshidabad,"WEST BENGAL"
East,Muzaffarpur,BIHAR
East,Nabarangapur,ODISHA
East,Nadia,"WEST BENGAL"
East,Nalanda,BIHAR
East,Narayanpur,CHATTISGARH
East,Nawada,BIHAR
East,Nayagarh,ODISHA
East,"North 24 Parganas","WEST BENGAL"
East,"North Dinajpur","WEST BENGAL"
East,Nuapada,ODISHA
East,Pakur,JHARKHAND
East,Palamau,JHARKHAND
East,Patna,BIHAR
East,Puri,ODISHA
East,Purnia,BIHAR
East,Puruliya,"WEST BENGAL"
East,Raigarh,CHATTISGARH
East,Raipur,CHATTISGARH
East,Rajnandgaon,CHATTISGARH
East,Ramgarh,JHARKHAND
East,Ranchi,JHARKHAND
East,Rayagada,ODISHA
East,Rohtas,BIHAR
East,Saharsa,BIHAR
East,Sahibganj,JHARKHAND
East,Samastipur,BIHAR
East,Sambalpur,ODISHA
East,Saran,BIHAR
East,Seraikela-kharsawan,JHARKHAND
East,Sheikhpura,BIHAR
East,Sheohar,BIHAR
East,Simdega,JHARKHAND
East,Sitamarhi,BIHAR
East,Siwan,BIHAR
East,Sonapur,ODISHA
